jahr,monat,kategorie,anzahl
2023,2023-10,anbieter_limousine,NA
2023,2023-10,limousinenfahrer,6
2023,2023-10,limousinenfahrzeug_bewilligungen,NA
2023,2023-10,taxiausweise,NA
2023,2023-10,taxidienstanbieter,NA
2023,2023-10,taxifahrzeug_bewilligungen,NA
2023,2023-10,zusatzbewilligung_fz,NA
2023,2023-11,anbieter_limousine,60
2023,2023-11,limousinenfahrer,161
2023,2023-11,limousinenfahrzeug_bewilligungen,155
2023,2023-11,taxiausweise,122
2023,2023-11,taxidienstanbieter,60
2023,2023-11,taxifahrzeug_bewilligungen,109
2023,2023-11,zusatzbewilligung_fz,NA
2023,2023-12,anbieter_limousine,163
2023,2023-12,limousinenfahrer,669
2023,2023-12,limousinenfahrzeug_bewilligungen,583
2023,2023-12,taxiausweise,784
2023,2023-12,taxidienstanbieter,159
2023,2023-12,taxifahrzeug_bewilligungen,730
2023,2023-12,zusatzbewilligung_fz,NA
2024,2024-01,anbieter_limousine,379
2024,2024-01,limousinenfahrer,2088
2024,2024-01,limousinenfahrzeug_bewilligungen,1592
2024,2024-01,taxiausweise,1120
2024,2024-01,taxidienstanbieter,274
2024,2024-01,taxifahrzeug_bewilligungen,1045
2024,2024-01,zusatzbewilligung_fz,NA
2024,2024-02,anbieter_limousine,721
2024,2024-02,limousinenfahrer,2632
2024,2024-02,limousinenfahrzeug_bewilligungen,2620
2024,2024-02,taxiausweise,1419
2024,2024-02,taxidienstanbieter,417
2024,2024-02,taxifahrzeug_bewilligungen,1283
2024,2024-02,zusatzbewilligung_fz,NA
2024,2024-03,anbieter_limousine,741
2024,2024-03,limousinenfahrer,2862
2024,2024-03,limousinenfahrzeug_bewilligungen,3138
2024,2024-03,taxiausweise,1586
2024,2024-03,taxidienstanbieter,435
2024,2024-03,taxifahrzeug_bewilligungen,1460
2024,2024-03,zusatzbewilligung_fz,NA
2024,2024-04,anbieter_limousine,769
2024,2024-04,limousinenfahrer,2997
2024,2024-04,limousinenfahrzeug_bewilligungen,3340
2024,2024-04,taxiausweise,1734
2024,2024-04,taxidienstanbieter,452
2024,2024-04,taxifahrzeug_bewilligungen,1587
2024,2024-04,zusatzbewilligung_fz,NA
2024,2024-05,anbieter_limousine,792
2024,2024-05,limousinenfahrer,3087
2024,2024-05,limousinenfahrzeug_bewilligungen,3493
2024,2024-05,taxiausweise,1824
2024,2024-05,taxidienstanbieter,466
2024,2024-05,taxifahrzeug_bewilligungen,1659
2024,2024-05,zusatzbewilligung_fz,NA
2024,2024-06,anbieter_limousine,806
2024,2024-06,limousinenfahrer,3175
2024,2024-06,limousinenfahrzeug_bewilligungen,3611
2024,2024-06,taxiausweise,1899
2024,2024-06,taxidienstanbieter,474
2024,2024-06,taxifahrzeug_bewilligungen,1762
2024,2024-06,zusatzbewilligung_fz,NA
2024,2024-07,anbieter_limousine,816
2024,2024-07,limousinenfahrer,3262
2024,2024-07,limousinenfahrzeug_bewilligungen,3754
2024,2024-07,taxiausweise,1995
2024,2024-07,taxidienstanbieter,482
2024,2024-07,taxifahrzeug_bewilligungen,1844
2024,2024-07,zusatzbewilligung_fz,NA
2024,2024-08,anbieter_limousine,824
2024,2024-08,limousinenfahrer,3339
2024,2024-08,limousinenfahrzeug_bewilligungen,3872
2024,2024-08,taxiausweise,2047
2024,2024-08,taxidienstanbieter,487
2024,2024-08,taxifahrzeug_bewilligungen,1911
2024,2024-08,zusatzbewilligung_fz,NA
2024,2024-09,anbieter_limousine,831
2024,2024-09,limousinenfahrer,3402
2024,2024-09,limousinenfahrzeug_bewilligungen,3997
2024,2024-09,taxiausweise,2119
2024,2024-09,taxidienstanbieter,498
2024,2024-09,taxifahrzeug_bewilligungen,1983
2024,2024-09,zusatzbewilligung_fz,NA
2024,2024-10,anbieter_limousine,844
2024,2024-10,limousinenfahrer,3479
2024,2024-10,limousinenfahrzeug_bewilligungen,4140
2024,2024-10,taxiausweise,2192
2024,2024-10,taxidienstanbieter,503
2024,2024-10,taxifahrzeug_bewilligungen,2072
2024,2024-10,zusatzbewilligung_fz,NA
2024,2024-11,anbieter_limousine,857
2024,2024-11,limousinenfahrer,3561
2024,2024-11,limousinenfahrzeug_bewilligungen,4296
2024,2024-11,taxiausweise,2275
2024,2024-11,taxidienstanbieter,511
2024,2024-11,taxifahrzeug_bewilligungen,2157
2024,2024-11,zusatzbewilligung_fz,NA
2024,2024-12,anbieter_limousine,865
2024,2024-12,limousinenfahrer,3646
2024,2024-12,limousinenfahrzeug_bewilligungen,4434
2024,2024-12,taxiausweise,2391
2024,2024-12,taxidienstanbieter,517
2024,2024-12,taxifahrzeug_bewilligungen,2239
2024,2024-12,zusatzbewilligung_fz,NA
2025,2025-01,anbieter_limousine,873
2025,2025-01,limousinenfahrer,3720
2025,2025-01,limousinenfahrzeug_bewilligungen,4602
2025,2025-01,taxiausweise,2481
2025,2025-01,taxidienstanbieter,523
2025,2025-01,taxifahrzeug_bewilligungen,2427
2025,2025-01,zusatzbewilligung_fz,NA
2025,2025-02,anbieter_limousine,883
2025,2025-02,limousinenfahrer,3802
2025,2025-02,limousinenfahrzeug_bewilligungen,4723
2025,2025-02,taxiausweise,2589
2025,2025-02,taxidienstanbieter,530
2025,2025-02,taxifahrzeug_bewilligungen,2523
2025,2025-02,zusatzbewilligung_fz,NA
2025,2025-03,anbieter_limousine,894
2025,2025-03,limousinenfahrer,3889
2025,2025-03,limousinenfahrzeug_bewilligungen,4869
2025,2025-03,taxiausweise,2700
2025,2025-03,taxidienstanbieter,532
2025,2025-03,taxifahrzeug_bewilligungen,2617
2025,2025-03,zusatzbewilligung_fz,NA
2025,2025-04,anbieter_limousine,902
2025,2025-04,limousinenfahrer,3956
2025,2025-04,limousinenfahrzeug_bewilligungen,4975
2025,2025-04,taxiausweise,2774
2025,2025-04,taxidienstanbieter,537
2025,2025-04,taxifahrzeug_bewilligungen,2687
2025,2025-04,zusatzbewilligung_fz,NA
2025,2025-05,anbieter_limousine,906
2025,2025-05,limousinenfahrer,4007
2025,2025-05,limousinenfahrzeug_bewilligungen,5076
2025,2025-05,taxiausweise,2846
2025,2025-05,taxidienstanbieter,539
2025,2025-05,taxifahrzeug_bewilligungen,2758
2025,2025-05,zusatzbewilligung_fz,NA
2025,2025-06,anbieter_limousine,915
2025,2025-06,limousinenfahrer,4066
2025,2025-06,limousinenfahrzeug_bewilligungen,5179
2025,2025-06,taxiausweise,2929
2025,2025-06,taxidienstanbieter,541
2025,2025-06,taxifahrzeug_bewilligungen,2805
2025,2025-06,zusatzbewilligung_fz,NA
2025,2025-07,anbieter_limousine,919
2025,2025-07,limousinenfahrer,4115
2025,2025-07,limousinenfahrzeug_bewilligungen,5283
2025,2025-07,taxiausweise,3015
2025,2025-07,taxidienstanbieter,547
2025,2025-07,taxifahrzeug_bewilligungen,2869
2025,2025-07,zusatzbewilligung_fz,NA
2025,2025-08,anbieter_limousine,925
2025,2025-08,limousinenfahrer,4169
2025,2025-08,limousinenfahrzeug_bewilligungen,5384
2025,2025-08,taxiausweise,3095
2025,2025-08,taxidienstanbieter,552
2025,2025-08,taxifahrzeug_bewilligungen,2935
2025,2025-08,zusatzbewilligung_fz,NA
2025,2025-09,anbieter_limousine,935
2025,2025-09,limousinenfahrer,4237
2025,2025-09,limousinenfahrzeug_bewilligungen,5535
2025,2025-09,taxiausweise,3230
2025,2025-09,taxidienstanbieter,557
2025,2025-09,taxifahrzeug_bewilligungen,3024
2025,2025-09,zusatzbewilligung_fz,NA
2025,2025-10,anbieter_limousine,941
2025,2025-10,limousinenfahrer,4293
2025,2025-10,limousinenfahrzeug_bewilligungen,5648
2025,2025-10,taxiausweise,3345
2025,2025-10,taxidienstanbieter,560
2025,2025-10,taxifahrzeug_bewilligungen,3097
2025,2025-10,zusatzbewilligung_fz,NA
2025,2025-11,anbieter_limousine,947
2025,2025-11,limousinenfahrer,4367
2025,2025-11,limousinenfahrzeug_bewilligungen,5745
2025,2025-11,taxiausweise,3523
2025,2025-11,taxidienstanbieter,564
2025,2025-11,taxifahrzeug_bewilligungen,3188
2025,2025-11,zusatzbewilligung_fz,NA
2025,2025-12,anbieter_limousine,951
2025,2025-12,limousinenfahrer,4431
2025,2025-12,limousinenfahrzeug_bewilligungen,5830
2025,2025-12,taxiausweise,3643
2025,2025-12,taxidienstanbieter,566
2025,2025-12,taxifahrzeug_bewilligungen,3240
2025,2025-12,zusatzbewilligung_fz,NA
2026,2026-01,anbieter_limousine,958
2026,2026-01,limousinenfahrer,4478
2026,2026-01,limousinenfahrzeug_bewilligungen,5940
2026,2026-01,taxiausweise,3708
2026,2026-01,taxidienstanbieter,568
2026,2026-01,taxifahrzeug_bewilligungen,3289
2026,2026-01,zusatzbewilligung_fz,NA
2026,2026-02,anbieter_limousine,967
2026,2026-02,limousinenfahrer,4539
2026,2026-02,limousinenfahrzeug_bewilligungen,6022
2026,2026-02,taxiausweise,3752
2026,2026-02,taxidienstanbieter,573
2026,2026-02,taxifahrzeug_bewilligungen,3316
2026,2026-02,zusatzbewilligung_fz,NA
2026,2026-03,anbieter_limousine,977
2026,2026-03,limousinenfahrer,4603
2026,2026-03,limousinenfahrzeug_bewilligungen,6133
2026,2026-03,taxiausweise,3821
2026,2026-03,taxidienstanbieter,576
2026,2026-03,taxifahrzeug_bewilligungen,3352
2026,2026-03,zusatzbewilligung_fz,NA
