jahr,kategorie,geburtskohorte,anzahl
2023,limousinenfahrer,1940-1944,NA
2023,limousinenfahrer,1945-1949,10
2023,limousinenfahrer,1950-1954,16
2023,limousinenfahrer,1955-1959,50
2023,limousinenfahrer,1960-1964,108
2023,limousinenfahrer,1965-1969,168
2023,limousinenfahrer,1970-1974,200
2023,limousinenfahrer,1975-1979,198
2023,limousinenfahrer,1980-1984,222
2023,limousinenfahrer,1985-1989,219
2023,limousinenfahrer,1990-1994,126
2023,limousinenfahrer,1995-1999,58
2023,limousinenfahrer,2000-2004,15
2023,taxiausweise,1940-1944,NA
2023,taxiausweise,1945-1949,9
2023,taxiausweise,1950-1954,16
2023,taxiausweise,1955-1959,38
2023,taxiausweise,1960-1964,103
2023,taxiausweise,1965-1969,121
2023,taxiausweise,1970-1974,147
2023,taxiausweise,1975-1979,133
2023,taxiausweise,1980-1984,155
2023,taxiausweise,1985-1989,143
2023,taxiausweise,1990-1994,65
2023,taxiausweise,1995-1999,30
2023,taxiausweise,2000-2004,6
2024,limousinenfahrer,1940-1944,NA
2024,limousinenfahrer,1945-1949,10
2024,limousinenfahrer,1950-1954,28
2024,limousinenfahrer,1955-1959,104
2024,limousinenfahrer,1960-1964,190
2024,limousinenfahrer,1965-1969,251
2024,limousinenfahrer,1970-1974,297
2024,limousinenfahrer,1975-1979,373
2024,limousinenfahrer,1980-1984,339
2024,limousinenfahrer,1985-1989,285
2024,limousinenfahrer,1990-1994,217
2024,limousinenfahrer,1995-1999,121
2024,limousinenfahrer,2000-2004,46
2024,limousinenfahrer,2005-2009,NA
2024,taxiausweise,1940-1944,NA
2024,taxiausweise,1945-1949,9
2024,taxiausweise,1950-1954,16
2024,taxiausweise,1955-1959,66
2024,taxiausweise,1960-1964,149
2024,taxiausweise,1965-1969,202
2024,taxiausweise,1970-1974,193
2024,taxiausweise,1975-1979,221
2024,taxiausweise,1980-1984,190
2024,taxiausweise,1985-1989,185
2024,taxiausweise,1990-1994,129
2024,taxiausweise,1995-1999,77
2024,taxiausweise,2000-2004,24
2024,taxiausweise,2005-2009,NA
2025,limousinenfahrer,1945-1949,NA
2025,limousinenfahrer,1950-1954,8
2025,limousinenfahrer,1955-1959,36
2025,limousinenfahrer,1960-1964,55
2025,limousinenfahrer,1965-1969,75
2025,limousinenfahrer,1970-1974,86
2025,limousinenfahrer,1975-1979,93
2025,limousinenfahrer,1980-1984,110
2025,limousinenfahrer,1985-1989,127
2025,limousinenfahrer,1990-1994,99
2025,limousinenfahrer,1995-1999,81
2025,limousinenfahrer,2000-2004,25
2025,limousinenfahrer,2005-2009,NA
2025,taxiausweise,1930-1934,NA
2025,taxiausweise,1935-1939,NA
2025,taxiausweise,1940-1944,NA
2025,taxiausweise,1945-1949,6
2025,taxiausweise,1950-1954,28
2025,taxiausweise,1955-1959,84
2025,taxiausweise,1960-1964,145
2025,taxiausweise,1965-1969,154
2025,taxiausweise,1970-1974,164
2025,taxiausweise,1975-1979,142
2025,taxiausweise,1980-1984,148
2025,taxiausweise,1985-1989,145
2025,taxiausweise,1990-1994,99
2025,taxiausweise,1995-1999,85
2025,taxiausweise,2000-2004,33
2026,limousinenfahrer,1950-1954,NA
2026,limousinenfahrer,1955-1959,NA
2026,limousinenfahrer,1960-1964,12
2026,limousinenfahrer,1965-1969,12
2026,limousinenfahrer,1970-1974,19
2026,limousinenfahrer,1975-1979,20
2026,limousinenfahrer,1980-1984,22
2026,limousinenfahrer,1985-1989,25
2026,limousinenfahrer,1990-1994,28
2026,limousinenfahrer,1995-1999,25
2026,limousinenfahrer,2000-2004,8
2026,limousinenfahrer,2005-2009,NA
2026,taxiausweise,1940-1944,NA
2026,taxiausweise,1945-1949,NA
2026,taxiausweise,1950-1954,NA
2026,taxiausweise,1955-1959,NA
2026,taxiausweise,1960-1964,12
2026,taxiausweise,1965-1969,14
2026,taxiausweise,1970-1974,22
2026,taxiausweise,1975-1979,22
2026,taxiausweise,1980-1984,25
2026,taxiausweise,1985-1989,22
2026,taxiausweise,1990-1994,18
2026,taxiausweise,1995-1999,20
2026,taxiausweise,2000-2004,10
2026,taxiausweise,2005-2009,NA
