jahr,kategorie,geo_name,anzahl,geo_ebene,stichtag,gemeinde_code
2023,limousinenfahrzeug_bewilligungen,ZH,1228,Kanton,NA,NA
2023,limousinenfahrzeug_bewilligungen,andere_kantone,11,Kanton,NA,NA
2023,taxifahrzeug_bewilligungen,ZH,820,Kanton,NA,NA
2023,taxifahrzeug_bewilligungen,andere_kantone,7,Kanton,NA,NA
2024,limousinenfahrzeug_bewilligungen,ZH,3145,Kanton,NA,NA
2024,limousinenfahrzeug_bewilligungen,andere_kantone,23,Kanton,NA,NA
2024,limousinenfahrzeug_bewilligungen,AG,15,Kanton,NA,NA
2024,limousinenfahrzeug_bewilligungen,VD,11,Kanton,NA,NA
2024,limousinenfahrzeug_bewilligungen,SG,6,Kanton,NA,NA
2024,taxifahrzeug_bewilligungen,ZH,1394,Kanton,NA,NA
2024,taxifahrzeug_bewilligungen,AG,22,Kanton,NA,NA
2024,taxifahrzeug_bewilligungen,SG,10,Kanton,NA,NA
2024,taxifahrzeug_bewilligungen,andere_kantone,10,Kanton,NA,NA
2025,limousinenfahrzeug_bewilligungen,ZH,1488,Kanton,NA,NA
2025,limousinenfahrzeug_bewilligungen,andere_kantone,11,Kanton,NA,NA
2025,limousinenfahrzeug_bewilligungen,AG,8,Kanton,NA,NA
2025,taxifahrzeug_bewilligungen,ZH,1030,Kanton,NA,NA
2025,taxifahrzeug_bewilligungen,AG,20,Kanton,NA,NA
2025,taxifahrzeug_bewilligungen,andere_kantone,19,Kanton,NA,NA
2025,taxifahrzeug_bewilligungen,SG,7,Kanton,NA,NA
2026,limousinenfahrzeug_bewilligungen,ZH,415,Kanton,NA,NA
2026,taxifahrzeug_bewilligungen,ZH,184,Kanton,NA,NA
2026,taxifahrzeug_bewilligungen,andere_kantone,7,Kanton,NA,NA
2026,taxifahrzeug_bewilligungen,AG,6,Kanton,NA,NA
2026,taxiausweise,Zürich,359,Gemeinde,2026-03-31,261
2026,taxiausweise,Kloten,73,Gemeinde,2026-03-31,62
2026,taxiausweise,Winterthur,55,Gemeinde,2026-03-31,230
2026,taxiausweise,andere_gemeinden,29,Gemeinde,2026-03-31,NA
2026,taxiausweise,Wädenswil,11,Gemeinde,2026-03-31,141
2026,taxiausweise,Dietikon,9,Gemeinde,2026-03-31,243
