jahr,monat,kategorie,status,anzahl
2023,2023-10,anbieter_limousine,erledigt,13
2023,2023-10,limousinenfahrer,erledigt,18
2023,2023-10,limousinenfahrzeug_bewilligungen,abgebrochen,NA
2023,2023-10,limousinenfahrzeug_bewilligungen,erledigt,15
2023,2023-10,taxiausweise,abgebrochen,NA
2023,2023-10,taxiausweise,erledigt,28
2023,2023-10,taxidienstanbieter,abgebrochen,NA
2023,2023-10,taxidienstanbieter,erledigt,21
2023,2023-10,taxifahrzeug_bewilligungen,abgebrochen,NA
2023,2023-10,taxifahrzeug_bewilligungen,erledigt,18
2023,2023-11,anbieter_limousine,abgebrochen,32
2023,2023-11,anbieter_limousine,erledigt,234
2023,2023-11,limousinenfahrer,abgebrochen,19
2023,2023-11,limousinenfahrer,erledigt,507
2023,2023-11,limousinenfahrzeug_bewilligungen,abgebrochen,78
2023,2023-11,limousinenfahrzeug_bewilligungen,erledigt,474
2023,2023-11,taxiausweise,abgebrochen,30
2023,2023-11,taxiausweise,erledigt,475
2023,2023-11,taxidienstanbieter,abgebrochen,26
2023,2023-11,taxidienstanbieter,erledigt,179
2023,2023-11,taxifahrzeug_bewilligungen,abgebrochen,53
2023,2023-11,taxifahrzeug_bewilligungen,erledigt,322
2023,2023-11,zusatzbewilligung_fz,abgebrochen,NA
2023,2023-12,anbieter_limousine,abgebrochen,71
2023,2023-12,anbieter_limousine,erledigt,290
2023,2023-12,limousinenfahrer,abgebrochen,62
2023,2023-12,limousinenfahrer,erledigt,867
2023,2023-12,limousinenfahrzeug_bewilligungen,abgebrochen,107
2023,2023-12,limousinenfahrzeug_bewilligungen,erledigt,750
2023,2023-12,taxiausweise,abgebrochen,45
2023,2023-12,taxiausweise,erledigt,464
2023,2023-12,taxidienstanbieter,abgebrochen,33
2023,2023-12,taxidienstanbieter,erledigt,132
2023,2023-12,taxifahrzeug_bewilligungen,abgebrochen,89
2023,2023-12,taxifahrzeug_bewilligungen,erledigt,487
2023,2023-12,zusatzbewilligung_fz,abgebrochen,NA
2023,2023-12,zusatzbewilligung_fz,erledigt,NA
2024,2024-01,anbieter_limousine,abgebrochen,12
2024,2024-01,anbieter_limousine,erledigt,147
2024,2024-01,limousinenfahrer,abgebrochen,31
2024,2024-01,limousinenfahrer,erledigt,786
2024,2024-01,limousinenfahrzeug_bewilligungen,abgebrochen,84
2024,2024-01,limousinenfahrzeug_bewilligungen,erledigt,691
2024,2024-01,taxiausweise,abgebrochen,21
2024,2024-01,taxiausweise,erledigt,303
2024,2024-01,taxidienstanbieter,abgebrochen,7
2024,2024-01,taxidienstanbieter,erledigt,53
2024,2024-01,taxifahrzeug_bewilligungen,abgebrochen,37
2024,2024-01,taxifahrzeug_bewilligungen,erledigt,283
2024,2024-02,anbieter_limousine,abgebrochen,9
2024,2024-02,anbieter_limousine,erledigt,39
2024,2024-02,limousinenfahrer,abgebrochen,15
2024,2024-02,limousinenfahrer,erledigt,464
2024,2024-02,limousinenfahrzeug_bewilligungen,abgebrochen,54
2024,2024-02,limousinenfahrzeug_bewilligungen,erledigt,718
2024,2024-02,taxiausweise,abgebrochen,16
2024,2024-02,taxiausweise,erledigt,226
2024,2024-02,taxidienstanbieter,abgebrochen,7
2024,2024-02,taxidienstanbieter,erledigt,34
2024,2024-02,taxifahrzeug_bewilligungen,abgebrochen,29
2024,2024-02,taxifahrzeug_bewilligungen,erledigt,220
2024,2024-02,zusatzbewilligung_fz,abgebrochen,NA
2024,2024-03,anbieter_limousine,abgebrochen,7
2024,2024-03,anbieter_limousine,erledigt,28
2024,2024-03,limousinenfahrer,abgebrochen,6
2024,2024-03,limousinenfahrer,erledigt,237
2024,2024-03,limousinenfahrzeug_bewilligungen,abgebrochen,36
2024,2024-03,limousinenfahrzeug_bewilligungen,erledigt,505
2024,2024-03,taxiausweise,abgebrochen,6
